domain,page,document,size [KB]
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_22.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_21.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_26.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_27.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_45.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_35.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_39.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_44.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_28.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_29.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_30.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_46.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_31.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_32.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_33.jpg,27.235
